"Time","temperature"
1696583228000,41.53
1696583229000,
1696583230000,41.68
1696583231000,
1696583232000,41.53
1696583233000,
1696583234000,41.31
1696583235000,
1696583236000,41.18
1696583237000,
1696583238000,41.32
1696583239000,
1696583240000,42.13
1696583241000,
1696583242000,41.65
1696583243000,
1696583244000,44.72
1696583245000,
1696583246000,41.65
1696583247000,
1696583248000,41.75
1696583249000,
1696583250000,41.58
1696583251000,
1696583252000,41.62
1696583253000,
1696583254000,41.64
1696583255000,
1696583256000,40.29
1696583257000,
1696583258000,41.8
1696583259000,
1696583260000,41.17
1696583261000,
1696583262000,41.58
1696583263000,
1696583264000,40.49
1696583265000,
1696583266000,41.98
1696583267000,
1696583268000,42.12
1696583269000,
1696583270000,41.74
1696583271000,
1696583272000,41.95
1696583273000,
1696583274000,41.77
1696583275000,
1696583276000,42.34
1696583277000,
1696583278000,41.61
1696583279000,
1696583280000,41.65
1696583281000,
1696583282000,39.5
1696583283000,
1696583284000,42.13
1696583285000,
1696583286000,41.31
1696583287000,
1696583288000,42.85
1696583289000,
1696583290000,42
1696583291000,
1696583292000,41.95
1696583293000,
1696583294000,42.1
1696583295000,
1696583296000,42.14
1696583297000,
1696583298000,31.58
1696583299000,
1696583300000,41.66
1696583301000,
1696583302000,38.61
1696583303000,
1696583304000,42.4
1696583305000,
1696583306000,41.92
1696583307000,
1696583308000,40.51
1696583309000,
1696583310000,42.14
1696583311000,
1696583312000,42.03
1696583313000,
1696583314000,41.99
1696583315000,
1696583316000,42.13
1696583317000,
1696583318000,41.63
1696583319000,
1696583320000,42.13
1696583321000,
1696583322000,42.11
1696583323000,
1696583324000,42.78
1696583325000,
1696583326000,41.33
1696583327000,
1696583328000,41.59
1696583329000,
1696583330000,42.14
1696583331000,
1696583332000,41.99
1696583333000,
1696583334000,
1696583335000,
1696583336000,
1696583337000,
1696583338000,
1696583339000,
1696583340000,
1696583341000,
1696583342000,
1696583343000,
1696583344000,
1696583345000,
1696583346000,
1696583347000,
1696583348000,
1696583349000,
1696583350000,
1696583351000,
1696583352000,
1696583353000,
1696583354000,
1696583355000,
1696583356000,
1696583357000,
1696583358000,
1696583359000,
1696583360000,
1696583361000,
1696583362000,
1696583363000,
1696583364000,
1696583365000,
1696583366000,
1696583367000,
1696583368000,
1696583369000,
1696583370000,
1696583371000,
1696583372000,
1696583373000,
1696583374000,
1696583375000,
1696583376000,
1696583377000,
1696583378000,
1696583379000,
1696583380000,
1696583381000,
1696583382000,
1696583383000,
1696583384000,
1696583385000,
1696583386000,
1696583387000,
1696583388000,
1696583389000,
1696583390000,
1696583391000,
1696583392000,
1696583393000,
1696583394000,
1696583395000,
1696583396000,
1696583397000,
1696583398000,
1696583399000,
1696583400000,
